model,file,label,duration_sec,median_hz,mean_hz,std_hz,pitch_std_semitones,voiced_frames,target_shift,estimated_shift,shift_error,abs_shift_error,onset_rms_ratio,onset_centroid_ratio,onset_flatness_ratio,onset_high_band_ratio,params
continuous,continuous_down_1.wav,down_1,3.0,622.0694270673762,616.969299928133,12.816222410872466,0.36396510455017916,141,-1.0,-1.0490874024880728,-0.04908740248807275,0.04908740248807275,3.06716401114264,2.3273017542341017,32.81623232473338,3.633727098302012,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,down_0_5,3.0,623.2803893474013,622.9710975709432,10.797614868837618,0.30115193551241015,141,-0.5,-1.0154187936451273,-0.5154187936451273,0.5154187936451273,3.1812443695372243,1.6559861185693434,16.40487701636303,2.598089526240691,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,center,3.0,660.9309491600493,661.8631744510197,11.346884599026948,0.29629938871444617,141,0.0,0.0,0.0,0.0,5.304430933858261,2.231673468216014,31.2407417292952,3.7028422986352267,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,up_0_5,3.0,686.427159476987,667.520257264836,89.75260466088358,4.664214191627186,141,0.5,0.6552849888026262,0.1552849888026262,0.1552849888026262,6.792869554037304,1.5835026742356568,18.832069702213296,2.852759478325224,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,up_1,3.0,695.1666589056789,692.3975438239523,9.663848236779845,0.24397791912500127,141,1.0,0.8743120370129978,-0.12568796298700224,0.12568796298700224,4.357739542326793,2.160879661875933,22.612492734077733,3.4848572387874444,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,up_0_25,3.0,660.2066264769951,640.6125567095683,45.16491817022417,1.2967622157305025,141,0.25,-0.018983219313130982,-0.26898321931313096,0.26898321931313096,1.518285503892882,3.2315645703386706,86.45658589946336,7.451837770124329,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,up_0_75,3.0,674.9649536841974,676.2520933499372,13.2118003092587,0.33682762447416836,141,0.75,0.36375649137961436,-0.38624350862038564,0.38624350862038564,9.546475320304504,2.6015729480893537,29.051118199269442,3.1773125404881704,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,down_1,3.0,596.2269757609971,590.2010494400636,22.707040783052275,0.6869763919423328,141,-1.0,-1.368982395899849,-0.36898239589984905,0.36898239589984905,3.3419235522546047,2.6045093289768086,15.54354526614309,3.959504933125734,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,down_0_5,3.0,613.6353762491642,612.7438793345697,48.30529346131996,3.0180050693984106,141,-0.5,-0.8707423149897362,-0.3707423149897362,0.3707423149897362,4.046235045711665,3.2832401084987533,62.0717932498375,4.329681831295063,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,center,3.0,645.2881430024372,635.8505785201951,25.61207795143528,0.7171737216239223,141,0.0,0.0,0.0,0.0,2.7289096969762348,2.530736883593985,44.84837504929374,3.8816648942918226,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,up_0_5,3.0,534.2803829026128,539.5657544506083,19.431374818429013,0.6121050609039441,141,0.5,-3.2681576362318774,-3.7681576362318774,3.7681576362318774,1.4720581187471915,1.2239977570206786,2.9602535614500924,1.1836712234587021,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,up_1,3.0,537.6753766857349,537.7747002521887,9.92884732358955,0.31902941014014435,141,1.0,-3.1584973553322415,-4.1584973553322415,4.1584973553322415,2.377210546714248,3.363108790104798,169.52468554044026,4.530738767060228,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
